fl	i	mean.bodyw.	sd.bodyw.	sd.bodyw..mean.bodyw.	max.bodyw.	min.bodyw.	sRate	nsyll	npause	dur..s.	phonationtime..s.	speechrate..nsyll.dur.	articulation.rate..nsyll...phonationtime.	ASD..speakingtime.nsyll.	tmin	tmax	f0mean	fmin	fmax	f0stdev	CoefVarF0	isq	meanIntensity	sdIntensity
Speaker8.txt	2	0.312863018	0.331827261	1.060615164	6.493607522	0.078338776	0.688231246	1187	0	348.6	348.6	3.41	3.41	0.294	0	348.6	120.73	68.59	397.8	36.45	0.30191336	12.25	73.74074105	5.739417252
Speaker8.txt	3	0.333449067	0.332849333	0.998201421	5.924281814	0.064545207	0.688231246	1016	0	348.6	348.6	2.91	2.91	0.343	0	348.6	114.5	66.53	399.52	36.86	0.321921397	6.25	73.43151006	5.605811414
Speaker8.txt	4	0.27075064	0.171037632	0.631716446	2.34380348	0.07392377	0.688231246	901	0	348.6	348.6	2.58	2.58	0.387	0	348.6	111	66.8	376.6	33.65	0.303153153	2.25	73.38794248	5.415599579
Speaker8.txt	5	0.271346689	0.190746999	0.702964165	2.942670614	0.079897355	0.516173434	853	0	348.6	348.6	2.45	2.45	0.409	0	348.6	109.25	66.35	395.91	30.69	0.280915332	0.25	73.33822492	5.392597477
Speaker8.txt	6	0.303634521	0.211996804	0.698197303	2.870587064	0.084804988	0.688231246	931	0	348.6	348.6	2.67	2.67	0.374	0	348.6	113.26	66.14	398.55	32.39	0.285979163	0.25	74.3217496	5.520319275
Speaker8.txt	7	0.288296931	0.214577001	0.744291658	3.156157734	0.066436049	0.344115623	877	0	348.6	348.6	2.52	2.52	0.397	0	348.6	110.86	66.08	386.47	32.12	0.289734801	2.25	73.93984332	5.424648025
Speaker8.txt	8	0.297244203	0.244838689	0.82369542	3.910960458	0.079101704	0.344115623	903	0	348.6	348.6	2.59	2.59	0.386	0	348.6	111.1	69.49	397.69	33.8	0.304230423	6.25	74.26139301	5.413685384
Speaker8.txt	9	0.279264885	0.216877071	0.776599862	3.578006397	0.067340149	0.344115623	935	0	348.6	348.6	2.68	2.68	0.373	0	348.6	113.29	67.04	398.22	35.3	0.311589725	12.25	74.37369453	5.31629061
Speaker8.txt	10	0.244704309	0.15691238	0.641232599	2.045436372	0.069583614	1.032465298	820	0	348.36	348.36	2.35	2.35	0.425	0	348.36	107.47	66.57	390.78	30.36	0.282497441	20.25	73.40720509	5.019309001
Speaker9.txt	1	0.375234528	0.251663323	0.670682746	2.611092035	0.036627256	0.768541053	1029	88	312.11	256.74	3.3	4.01	0.25	0	312.111995	134.65	61.07	422.87	50.7	0.376531749	20.25	74.17076606	10.9179559
Speaker9.txt	2	0.349217446	0.230966146	0.661382038	2.399479759	0.049966009	0.768442623	1096	87	312.11	256.22	3.51	4.28	0.234	0	312.111995	140.98	67.6	420.19	49.16	0.348701944	12.25	74.63990989	10.96975518
